Product Code,Product Name,Product Category,UOM,UPC,Bill of Materials,Batched Product
102232,CHOCOLALA PAPER CUP,CUPS,Packet,1351214000405,N,N
104985,D FUSHIA 10.5 CM,WRAPPING,Kilogram,1351214000409,N,N
104989,D FUSHIA MSC33 7 CM,WRAPPING,Kilogram,1351214000410,N,N
104990,D FUSHIA MSC33 7.5 CM,WRAPPING,Kilogram,1351214000411,N,N
104988,D FUSHIA MSC33 10.5 CM,WRAPPING,Kilogram,1351214000412,N,N
105000,DARK GREEN MMC-9 7CM,WRAPPING,Kilogram,1351214000414,N,N
104993,MMC-17 D.MUSTARD 10.5CM,WRAPPING,Kilogram,1351214000416,N,N
104994,MMC-17 D.MUSTARD 7CM,WRAPPING,Kilogram,1351214000417,N,N
104996,D TURQUOISE 10.5 CM,WRAPPING,Kilogram,1351214000419,N,N
104998,D TURQUOISE 7.5 CM,WRAPPING,Kilogram,1351214000421,N,N
104386,DIRHAMS STICKER,STICKERS,Pieces,1351214000423,N,N
103225,DISPOSABLE APRON H.D.P.E 10X100PCS,DISPOSABLE,Packet,1351214000424,N,N
103227,DISPOSABLE VINYL GLOVES,DISPOSABLE,Carton,1351214000425,N,N
103230,DISPOSABLE VINYL GLOVES SMALL,DISPOSABLE,Unit,1351214000428,N,N
102242,DOME LID COVER ICE CREAM 12OZ,CUPS,Packet,1351214000429,N,N
105004,FUSHIA MMC29 10.5 CM,WRAPPING,Kilogram,1351214000434,N,N
105005,FUSHIA MMC29 7 CM,WRAPPING,Kilogram,1351214000435,N,N
105006,FUSHIA MMC29 7.5CM,WRAPPING,Kilogram,1351214000436,N,N
103233,GARBAGE BAG,DISPOSABLE,Rolls,1351214000437,N,N
105020,MMC-10 L.GREEN 7CM,WRAPPING,Kilogram,1351214000447,N,N
101797,WHEAT FLOUR T55,POWDER,Kilogram,1351214000449,N,N
105026,MSC-5 LILAC 7CM,WRAPPING,Kilogram,1351214000456,N,N
105043,MAUVE MSC31 7.5 CM,WRAPPING,Kilogram,1351214000461,N,N
105040,MSC-1 MAUVE 7CM,WRAPPING,Kilogram,1351214000462,N,N
103236,MAXI ROLL SAN SU 2/P 135MPERF,DISPOSABLE,Rolls,1351214000464,N,N
105045,METALLIC FLUERESCENT 6 CM,WRAPPING,Kilogram,1351214000465,N,N
105046,METALLIC FLOURESCENT 6.5 CM,WRAPPING,Kilogram,1351214000466,N,N
105049,METALLIC MAGENTA 6.5 CM,WRAPPING,Kilogram,1351214000469,N,N
105050,METALLIC MAGENTA 7CM,WRAPPING,Kilogram,1351214000470,N,N
105055,METALLIC PISTACHE 6.5 CM,WRAPPING,Kilogram,1351214000475,N,N
105061,METALLIC YELLOW 6.5 CM,WRAPPING,Kilogram,1351214000481,N,N
105072,MWE GREEN 7CM (ALU PAPER MATT),WRAPPING,Kilogram,1351214000491,N,N
103238,NONWOVEN HD COAT (FOR VISITORS),DISPOSABLE,Pieces,1351214000496,N,N
103240,"NONWOWEN BOUFFANT CAP 21"""" - (P:1000PCS)""",DISPOSABLE,Packet,1351214000497,N,N
105079,OLIVE GREEN 10.5 CM,WRAPPING,Kilogram,1351214000498,N,N
105080,MMC-6 OLIVE GREEN 7CM,WRAPPING,Kilogram,1351214000500,N,N
105085,ORANGE MMC26 10.5 CM,WRAPPING,Kilogram,1351214000501,N,N
105086,ORANGE MMC26 7 CM,WRAPPING,Kilogram,1351214000503,N,N
105087,ORANGE MMC26 7.5 CM,WRAPPING,Kilogram,1351214000504,N,N
103241,PE SLEEVES BLUE,DISPOSABLE,Packet,1351214000507,N,N
105093,PETROLEUM MMC20 7 CM,WRAPPING,Kilogram,1351214000509,N,N
101152,BRONZE SPRAY (EDIBLE),COLOUR & FLAVOUR,Pieces,1351214000514,N,N
105098,PISTACHE 10.5 CM,WRAPPING,Kilogram,1351214000515,N,N
105099,PISTACHE MMC36 10.5 CM,WRAPPING,Kilogram,1351214000516,N,N
105100,PISTACHE MMC36 7 CM,RIBBONS,Kilogram,1351214000517,N,N
103138,PIZZA BOX BIG ITALY 105X59CM,CARDBOARD,Pieces,1351214000519,N,N
103139,PIZZA BOX SMALL BELGIUM 80X95CM,CARDBOARD,Pieces,1351214000520,N,N
102279,PLASTIC CUP CHOCOLALA W/ LID,CUPS,Pieces,1351214000521,N,N
102282,PLASTIC CUP WHITE 6OZ,CUPS,Packet,1351214000523,N,N
102595,CHOCOLALA MASTERBOX 595X340X295MM,BOXES,Pieces,1351214000524,N,N
102285,PRINTED COFFEE CUP 6OZ (20*50'S),CUPS,Pieces,1351214000525,N,N
105107,PURPLE 7.5 CM,TRAYS,Kilogram,1351214000527,N,N
105116,RED 7.5CM,WRAPPING,Kilogram,1351214000530,N,N
105115,RED 10.5 CM,WRAPPING,Kilogram,1351214000532,N,N
105119,RED MMC27 7 CM,WRAPPING,Kilogram,1351214000533,N,N
105127,SAUMON MMC-31 7CM,WRAPPING,Kilogram,1351214000538,N,N
100997,SCRAPPER,CLEANING ITEM,Pieces,1351214000540,N,N
105134,SILK GOLD PLAIN 6 CM,WRAPPING,Kilogram,1351214000541,N,N
105135,SILK GOLD PLAIN 6.5 CM,WRAPPING,Kilogram,1351214000542,N,N
105144,SILK SILVER 6 PLAIN CM,WRAPPING,Kilogram,1351214000545,N,N
105145,SILK SILVER PLAIN 6.5 CM,WRAPPING,Kilogram,1351214000546,N,N
105153,SILVER 7 CM,WRAPPING,Kilogram,1351214000549,N,N
105156,SILVER MSC18 7.5 CM,WRAPPING,Kilogram,1351214000550,N,N
105162,SWE TURQUOISE 6 CM,FINI- PETIT FOUR OPEN,Kilogram,1351214000555,N,N
105163,SWE TURQUOISE 6.5 CM,WRAPPING,Kilogram,1351214000556,N,N
101545,POTASSIUM SORBATE,PASTE & CREAMS,Kilogram,1351214000558,N,N
105167,MMC-39 (WHITE) 7CM,WRAPPING,Kilogram,1351214000561,N,N
105170,MMC7 TURQUOISE 7CM,WRAPPING,Kilogram,1351214000568,N,N
105178,TURQUOISE MMC7 7.5 CM,WRAPPING,Kilogram,1351214000569,N,N
103251,VINYL GLOVES LARGE (10*100PCS),DISPOSABLE,Packet,1351214000574,N,N
103253,VINYL GLOVES SMALL (10*100PCS),DISPOSABLE,Packet,1351214000576,N,N
101003,WASHING POWDER(ARIEL),CLEANING ITEM,Kilogram,1351214000577,N,N
105188,WHITE 10.5 CM,WRAPPING,Kilogram,1351214000578,N,N
105189,MSC-23 (WHITE) 7CM,WRAPPING,Kilogram,1351214000579,N,N
105190,WHITE 7.5 CM,WRAPPING,Kilogram,1351214000580,N,N
105239,YELLOW 10.5 CM,WRAPPING,Kilogram,1351214000585,N,N
105240,YELLOW 7 CM,WRAPPING,Kilogram,1351214000586,N,N
105241,YELLOW 7.5 CM,WRAPPING,Kilogram,1351214000587,N,N
102599,CARDBOARD CAKE BOX 26X26X10CM/25*25*120,BOXES,Pieces,1351214000588,N,N
102600,CARDBOARD CAKE BOX 29X29X10CM/30*30CM*120,BOXES,Pieces,1351214000589,N,N
103165,RECT. CARDBOARD SILVER 35X25CM,CAKEBOARD,Pieces,1351214000590,N,N
103140,RECT. CARDBOARD CAKE BASE 61X41CM-GOLD (20),CARDBOARD,Pieces,1351214000592,N,N
103164,RECT. CARDBOARD CAKE BOX W/WINDOW 63X42X12CM,CAKEBOARD,Pieces,1351214000593,N,N
103163,RECT. CARDBOARD CAKE BOX W/WINDOW 43X30X12CM,CAKEBOARD,Pieces,1351214000594,N,N
103166,"ROUND CARDBOARD CAKE BASE 10"""" SILVER""",CAKEBOARD,Pieces,1351214000595,N,N
103167,"ROUND CARDBOARD CAKE BASE 11"""" SILVER""",CAKEBOARD,Pieces,1351214000596,N,N
103142,"SQUARE CARDBOARD CAKE BASE 10X10"" SILVER(100)",CARDBOARD,Pieces,1351214000597,N,N
103143,"SQUARE CARDBOARD CAKE BASE 11/12"""" SILVER(50)""",CARDBOARD,Pieces,1351214000598,N,N
103069,BAG ATAYEB 57*36*40CM,BAGS,Pieces,1351214000600,N,N
103068,BAG ATAYEB 50*40*40CM,BAGS,Pieces,1351214000601,N,N
103065,BAG ATAYEB 34*34*34CM,BAGS,Pieces,1351214000603,N,N
103066,BAG ATAYEB 40*35*30CM,BAGS,Pieces,1351214000604,N,N
103064,BAG ATAYEB 29*29*29CM,BAGS,Pieces,1351214000605,N,N
103062,BAG ATAYEB 19*19*19CM,BAGS,Pieces,1351214000606,N,N
103063,BAG ATAYEB 29*12*15CM,BAGS,Pieces,1351214000607,N,N
103071,BAG ATAYEB BROWN 35*24.5*12.8CM (S),BAGS,Pieces,1351214000608,N,N
103078,BAG CHOCOLALA 90*45*35CM,BAGS,Pieces,1351214000609,N,N
103077,BAG CHOCOLALA 57*36*40CM,BAGS,Pieces,1351214000610,N,N
103076,BAG CHOCOLALA 50*40*40CM,BAGS,Pieces,1351214000611,N,N
103075,BAG CHOCOLALA 34*34*34CM,BAGS,Pieces,1351214000612,N,N
103074,BAG CHOCOLALA 29*29*29CM,BAGS,Pieces,1351214000613,N,N
103072,BAG CHOCOLALA 19*19*19CM,BAGS,Pieces,1351214000614,N,N
103073,BAG CHOCOLALA 29*12*15CM (1KG) (1007-3),BAGS,Pieces,1351214000615,N,N
103079,BAG CHOCOLALA GREEN 35*24.5*12.8CM (S) (1007-1),BAGS,Pieces,1351214000616,N,N
103080,BAG CHOCOLALA GREEN 40*27*14CM (B) (1007-2),BAGS,Pieces,1351214000617,N,N
103081,BAG PURE CHOCOLA 19*19CM,BAGS,Pieces,1351214000618,N,N
101280,MOCHA BEANS SMALL DARK (1KG),DRY-FRUITS & NUTS,Pieces,1351214000619,N,N
103087,BAG PURE CHOCOLA 34*34CM,BAGS,Pieces,1351214000620,N,N
103092,BAG PURE CHOCOLA 50*36CM/40CM,BAGS,Pieces,1351214000621,N,N
103093,BAG PURE CHOCOLA 57*40CM,BAGS,Pieces,1351214000622,N,N
103096,BAG PURE CHOCOLA 90*45*35CM,BAGS,Pieces,1351214000623,N,N
103082,BAG PURE CHOCOLA 19*19CM (BABY BOY),BAGS,Pieces,1351214000624,N,N
103085,BAG PURE CHOCOLA 29*29CM (BABY BOY),BAGS,Pieces,1351214000625,N,N
